tweet_id,favorites,retweets,user_followers,user_favourites,date_time
876120275196170240,28067,4778,6555917,132912,2017-06-17 16:52:05
875747767867523072,25337,4372,6555920,132912,2017-06-16 16:11:53
875144289856114688,22036,5015,6555920,132912,2017-06-15 00:13:52
875097192612077568,27582,6161,6555920,132912,2017-06-14 21:06:43
875021211251597312,25632,4801,6555920,132912,2017-06-14 16:04:48
874680097055178752,28031,4733,6555921,132912,2017-06-13 17:29:20
874434818259525634,0,15085,6555921,132912,2017-06-13 01:14:41
874296783580663808,26220,4199,6555921,132912,2017-06-12 16:06:11
874057562936811520,22796,4033,6555922,132912,2017-06-12 00:15:36
874012996292530176,34914,10690,6555922,132912,2017-06-11 21:18:31
873580283840344065,24416,4033,6555922,132912,2017-06-10 16:39:04
873337748698140672,0,1623,6555924,132912,2017-06-10 00:35:19
873213775632977920,7321,1623,6555925,132912,2017-06-09 16:22:42
872967104147763200,27588,5519,6555925,132912,2017-06-09 00:02:31
872820683541237760,14832,3779,6555925,132912,2017-06-08 14:20:41
872668790621863937,0,30,6555925,132912,2017-06-08 04:17:07
872620804844003328,20972,3798,6555925,132912,2017-06-08 01:06:27
872486979161796608,41026,9224,6555925,132912,2017-06-07 16:14:40
872261713294495745,34540,6484,6555925,132912,2017-06-07 01:19:32
872122724285648897,34768,8326,6555925,132912,2017-06-06 16:07:15
871879754684805121,38441,11530,6555926,132912,2017-06-06 00:01:46
871762521631449091,20462,3571,6555927,132912,2017-06-05 16:15:56
871515927908634625,20425,3543,6555927,132912,2017-06-04 23:56:03
871166179821445120,0,5836,6555927,132912,2017-06-04 00:46:17
871102520638267392,21142,5630,6555927,132912,2017-06-03 20:33:19
871032628920680449,22906,3902,6555926,132912,2017-06-03 15:55:36
870804317367881728,34033,6396,6555926,132912,2017-06-03 00:48:22
870726314365509632,120,3,6555926,132912,2017-06-02 19:38:25
870656317836468226,12598,2729,6555926,132912,2017-06-02 15:00:16
870374049280663552,83699,27009,6555926,132912,2017-06-01 20:18:38
870308999962521604,22102,4274,6555926,132912,2017-06-01 16:00:09
870063196459192321,37167,8611,6555927,132912,2017-05-31 23:43:25
869772420881756160,42984,10367,6555928,132912,2017-05-31 04:27:59
869702957897576449,28645,6531,6555929,132912,2017-05-30 23:51:58
869596645499047938,16221,3236,6555929,132912,2017-05-30 16:49:31
869227993411051520,20757,3919,6555929,132912,2017-05-29 16:24:37
868880397819494401,66665,14996,6555929,132912,2017-05-28 17:23:24
868639477480148993,0,2173,6555929,132912,2017-05-28 01:26:04
868622495443632128,27830,6121,6555929,132912,2017-05-28 00:18:35
868552278524837888,10348,2173,6555928,132912,2017-05-27 19:39:34
867900495410671616,24592,4327,6555928,132912,2017-05-26 00:29:37
867774946302451713,34589,7591,6555930,132912,2017-05-25 16:10:44
867421006826221569,16468,2617,6555930,132912,2017-05-24 16:44:18
867072653475098625,0,131,6555930,132912,2017-05-23 17:40:04
867051520902168576,32856,8188,6555931,132912,2017-05-23 16:16:06
866720684873056260,20520,5026,6555931,132912,2017-05-22 18:21:28
866686824827068416,19742,3628,6555932,132912,2017-05-22 16:06:55
866450705531457537,124651,36679,6555932,132912,2017-05-22 00:28:40
866334964761202691,53746,15085,6555932,132912,2017-05-21 16:48:45
866094527597207552,0,8709,6555932,132912,2017-05-21 00:53:21
865718153858494464,26185,5842,6555932,132912,2017-05-19 23:57:46
865359393868664832,27080,5228,6555932,132912,2017-05-19 00:12:11
865006731092295680,28636,8012,6555933,132912,2017-05-18 00:50:50
864873206498414592,33083,9129,6555933,132912,2017-05-17 16:00:15
864279568663928832,14954,3187,6555933,132912,2017-05-16 00:41:21
864197398364647424,30915,9376,6555933,132912,2017-05-15 19:14:50
863907417377173506,21129,4336,6555933,132912,2017-05-15 00:02:33
863553081350529029,15652,4363,6555933,132912,2017-05-14 00:34:33
863471782782697472,0,2599,6555933,132912,2017-05-13 19:11:30
863432100342583297,24396,5530,6555933,132912,2017-05-13 16:33:49
863427515083354112,2317,102,6555934,132912,2017-05-13 16:15:35
863079547188785154,8971,1154,6555935,132912,2017-05-12 17:12:53
863062471531167744,8777,2599,6555936,132912,2017-05-12 16:05:02
862831371563274240,19682,5319,6555937,132912,2017-05-12 00:46:44
862722525377298433,17520,3709,6555937,132912,2017-05-11 17:34:13
862457590147678208,21114,5219,6555937,132912,2017-05-11 00:01:27
862096992088072192,76730,24470,6555937,132912,2017-05-10 00:08:34
861383897657036800,37103,11247,6555937,132912,2017-05-08 00:54:59
861288531465048066,17689,4382,6555937,132912,2017-05-07 18:36:02
861005113778896900,17212,4007,6555937,132912,2017-05-06 23:49:50
860981674716409858,0,2272,6555937,132912,2017-05-06 22:16:42
860924035999428608,0,858,6555937,132912,2017-05-06 18:27:40
860563773140209665,7727,2272,6555938,132912,2017-05-05 18:36:06
860524505164394496,24317,5553,6555938,132912,2017-05-05 16:00:04
860276583193509888,18852,3658,6555939,132912,2017-05-04 23:34:55
860184849394610176,17191,6156,6555939,132912,2017-05-04 17:30:24
860177593139703809,0,32543,6555939,132912,2017-05-04 17:01:34
859924526012018688,20134,4315,6555939,132912,2017-05-04 00:15:58
859851578198683649,15860,3697,6555939,132912,2017-05-03 19:26:06
